SiteNumber,SiteLongit,SiteLatitu,slo,wti,accumulati,Dis_Sea,Slope_degr,TWI,curv,curv_profi,Area,handMean,Altitude,imp,Dis_storm,Soil_Point,Soil_Mean,Rain_MAX,Rain_Mean,Wind_MAX,Wind_Mean,Wind_Point,Rain_Point,Tide_Mean,Tide_Point,RiverDisMn,Mean_Gage_height,Slope-Invariability,Max_Gage_height
1398000,-74.827778,40.473333,2.96243,-4.41905,878333,0.556637,0.501344,18.316236,24145500,-2059870000.0,65475300,25.1662,109.46,6.14362,0.43528,0.428718,0.440178,0.009926,0.00819,27.681339,27.253179,27.3923,0.008407,2.290778,2.13291,70214.25174,3.426463,1.215711371,19.8
1397420,-74.7425,40.501944,4.51382,-4.38516,7613110,0.471549,0.208936,21.216994,52589500,-664314000.0,469030000,40.3581,60.4,4.80959,0.439363,0.428718,0.427037,0.011977,0.008574,28.046759,27.726087,27.9522,0.008362,1.965956,1.88838,48398.57261,6.689451,0.853690476,27.1
1401000,-74.681944,40.333056,2.60898,-4.25152,1462430,0.437685,1.26195,17.966622,41312100,-1171460000.0,117541000,21.5042,62.23,3.62115,0.260336,0.411208,0.416836,0.011286,0.00522,27.641634,26.371765,27.0814,0.008822,2.194427,1.98415,66321.35768,3.162708,1.067073706,18.1
1401650,-74.648889,40.468056,2.38086,-4.03033,176373,0.378003,2.69528,15.115324,68069504,-19202600000.0,13149800,21.7889,58.85,8.80802,0.381061,0.428718,0.428718,0.011343,0.009898,28.35342,28.18004,28.2679,0.011358,1.762609,1.69922,59838.32911,4.686875,1.313301232,14.03
1401750,-74.6175,40.44,2.0742,-3.99254,5610190,0.349136,14.0667,16.92015,119724000,27264600000.0,453287000,14.8798,26.52,12.2686,0.345462,0.430111,0.383405,0.036658,0.018833,30.554739,28.673716,28.4742,0.014453,1.715032,1.66287,54840.59032,5.366979,1.028678267,23.22
1402630,-74.623056,40.506111,1.86294,-4.09402,292217,0.352436,3.18086,15.457465,161975008,8049300000.0,23075000,11.1992,41.18,15.9767,0.410555,0.430111,0.429108,0.013101,0.010355,28.590553,28.363597,28.4492,0.010528,1.679615,1.6259,56779.4571,3.171562,1.123479933,13.16
1402000,-74.575833,40.475,2.0737,-4.01797,6533990,0.304733,2.04736,18.996189,118327000,-19495200000.0,524666000,14.7862,26.97,12.4338,0.367668,0.430111,0.389768,0.036658,0.018861,30.554739,28.721268,28.817,0.01594,1.689389,1.55278,49882.04528,3.114063,1.099539089,20.81
1402500,-74.5875,40.502778,2.07769,-4.02213,6651550,0.316746,4.43269,18.254765,118770000,-12219100000.0,535716000,14.7958,24.4,12.4074,0.397583,0.430111,0.390603,0.036658,0.018779,30.554739,28.722048,28.7047,0.013497,1.686837,1.51936,49869.94177,2.553021,1.113814935,22.48
1405030,-74.412778,40.483056,1.80824,-3.90171,1353560,0.141529,3.11326,17.011602,108884000,11067600000.0,108447000,10.1191,0.0,24.4093,0.330619,0.430111,0.426055,0.037931,0.028632,30.846024,29.914236,30.6318,0.034867,1.379254,1.21666,48494.63489,16.344479,1.172871131,19.81
1405400,-74.390556,40.389444,2.20017,-4.15066,1376370,0.148389,1.06965,18.063566,116728000,0.0,103073000,10.9387,0.0,12.7221,0.234505,0.430111,0.36514,0.044011,0.035979,31.18903,30.51155,30.6804,0.036854,1.399076,1.27201,54318.64777,10.061458,0.859005453,15.53
1406050,-74.348889,40.415,2.20881,-4.22015,521492,0.099543,1.12956,17.041245,149492000,0.0,40889400,11.6445,1.3,18.6964,0.247631,0.388148,0.381584,0.065872,0.048479,31.986404,31.566821,31.1097,0.040795,1.168428,1.20355,50944.89722,6.927083,0.996446231,8.43
1407290,-74.214167,40.319722,2.99999,-4.5171,224303,0.127744,7.8505,14.294891,125481000,-17606300000.0,17293400,17.0496,80.0,15.1573,0.119008,0.377042,0.377042,0.069126,0.05695,31.973379,31.825058,31.9934,0.068981,1.181334,1.18316,55797.84608,11.128489,1.276583434,17.55
1407500,-74.115556,40.319722,3.02305,-4.39191,1600450,0.117716,7.9433,16.248117,103169000,23713200000.0,125190000,16.1274,30.0,10.0002,0.091917,0.2136,0.377099,0.079109,0.068341,32.474907,32.078515,32.5432,0.080186,1.167432,1.14607,51178.2011,5.255937,1.362800054,6.2
1396500,-74.879167,40.677778,4.67278,-4.06427,2029020,0.63778,14.4386,15.876021,62528700,61710300000.0,162835000,43.9266,282.1,4.46551,0.645976,0.42108,0.421973,0.011977,0.008697,28.023859,27.483148,28.0082,0.008748,1.707573,1.9982,52620.16907,6.970937,0.884866139,10.97
1396582,-74.936944,40.691389,4.50308,-4.63068,402075,0.696982,6.7566,15.029045,61798100,21800000000.0,31578100,45.4951,379.1,1.41115,0.674936,0.42108,0.421547,0.009413,0.008089,27.963156,27.916751,27.9491,0.009433,1.99387,2.07553,66510.04523,3.822669,0.844178155,6.6
1396660,-74.968889,40.6475,5.03464,-4.76113,465465,0.716333,5.11274,15.45351,26855200,18871500000.0,29894900,59.7334,280.25,3.44501,0.641512,0.42108,0.424386,0.009202,0.008445,27.895077,27.790218,27.8623,0.009039,2.274522,2.18906,76006.07983,2.062569,1.04502157,5.04
1396800,-74.915556,40.64,5.09135,-4.43983,3504870,0.662708,16.0646,16.31111,73312704,7835590000.0,106140000,47.5085,193.5,2.1914,0.619649,0.42108,0.42215,0.009433,0.008507,27.98662,27.88504,27.9311,0.00867,2.116093,2.11373,65829.78719,1.948958,0.921977329,5.35
