SiteNumber,SiteLongit,SiteLatitu,slo,wti,accumulati,Dis_Sea,Slope_degr,TWI,curv,curv_profi,Area,handMean,Altitude,imp,Dis_storm,Soil_Point,Soil_Mean,Rain_MAX,Rain_Mean,Wind_MAX,Wind_Mean,Wind_Point,Rain_Point,Tide_Mean,Tide_Point,RiverDisMn,Mean_Gage_height,Slope-Invariability,Max_Gage_height
1398000,-74.827778,40.473333,2.96243,-4.41905,878333,0.556637,0.501344,18.316236,24145500,-2059870000.0,65475300,25.1662,109.46,6.22164,0.745243,0.416811,0.426201,5.851577,5.835525,55.80637,54.947034,55.4356,5.84166,3.49421,3.53387,70214.25174,2.948646,1.215711371,14.66
1397420,-74.7425,40.501944,4.51382,-4.38516,7613110,0.471549,0.208936,21.216994,52589500,-664314000.0,469030000,40.3581,60.4,5.57728,0.673389,0.416811,0.421778,6.953923,6.072363,56.908405,54.666099,56.4879,5.92833,3.696609,3.64147,48398.57261,5.32125,0.853690476,22.18
1401000,-74.681944,40.333056,2.60898,-4.25152,1462430,0.437685,1.26195,17.966622,41312100,-1171460000.0,117541000,21.5042,62.23,4.83178,0.562534,0.363882,0.382507,5.854525,5.796943,56.093163,54.122531,55.3607,5.81769,3.427973,3.44539,66321.35768,2.221667,1.067073706,16.23
1401650,-74.648889,40.468056,2.38086,-4.03033,176373,0.378003,2.69528,15.115324,68069504,-19202600000.0,13149800,21.7889,58.85,5.80891,0.573866,0.416811,0.416811,5.987441,5.965318,57.065384,56.873807,57.0654,5.98744,3.681682,3.71066,59838.32911,3.034583,1.313301232,13.1
1401750,-74.6175,40.44,2.0742,-3.99254,5610190,0.349136,14.0667,16.92015,119724000,27264600000.0,453287000,14.8798,26.52,8.83484,0.535215,0.385408,0.345114,6.043053,5.915948,60.071789,57.627421,57.3341,5.98781,3.605503,3.70781,54840.59032,5.184583,1.028678267,24.2
1402000,-74.575833,40.475,2.0737,-4.01797,6533990,0.304733,2.04736,18.996189,118327000,-19495200000.0,524666000,14.7862,26.97,9.11327,0.506755,0.385408,0.350605,6.267801,5.942754,60.071789,57.650726,57.6615,6.09555,3.632676,3.79927,49882.04528,2.544583,1.099539089,21.24
1402500,-74.5875,40.502778,2.07769,-4.02213,6651550,0.316746,4.43269,18.254765,118770000,-12219100000.0,535716000,14.7958,24.4,9.14125,0.526607,0.385408,0.351359,6.267801,5.945342,60.071789,57.649017,57.4606,6.12425,3.635894,3.841,49869.94177,3.27125,1.113814935,22.34
1405030,-74.412778,40.483056,1.80824,-3.90171,1353560,0.141529,3.11326,17.011602,108884000,11067600000.0,108447000,10.1191,0.0,13.7368,0.354614,0.385408,0.381997,6.427557,6.196869,58.858463,58.51023,58.3539,6.48091,3.901386,4.07839,48494.63489,15.788125,1.172871131,20.26
1405400,-74.390556,40.389444,2.20017,-4.15066,1376370,0.148389,1.06965,18.063566,116728000,0.0,103073000,10.9387,0.0,9.21229,0.30393,0.385408,0.317571,6.215698,6.041034,60.336102,59.612817,59.139,6.2157,3.810849,3.98684,54318.64777,16.929688,0.859005453,22.22
1406050,-74.348889,40.415,2.20881,-4.22015,521492,0.099543,1.12956,17.041245,149492000,0.0,40889400,11.6445,1.3,11.7026,0.272483,0.337529,0.333109,6.371191,6.316273,59.883797,59.618673,59.124,6.40407,4.095141,4.06389,50944.89722,7.025833,0.996446231,9.6
