SiteNumber,SiteLongit,SiteLatitu,slo,wti,accumulati,Dis_Sea,Slope_degr,TWI,curv,curv_profi,Area,handMean,Altitude,imp,Dis_storm,Soil_Point,Soil_Mean,Rain_MAX,Rain_Mean,Wind_MAX,Wind_Mean,Wind_Point,Rain_Point,Tide_Mean,Tide_Point,RiverDisMn,Mean_Gage_height,Slope-Invariability,Max_Gage_height
1405400,-74.390556,40.389444,2.20017,-4.15066,1376370,0.148389,1.06965,18.063566,116728000,0.0,103073000,10.9387,0.0,9.21229,0.890868,0.366273,0.293769,2.260766,2.084838,74.102272,73.774007,74.0005,1.92129,7.419988,7.90801,54318.64777,17.6935,0.859005453,17.77
1396800,-74.915556,40.64,5.09135,-4.43983,3504870,0.662708,16.0646,16.31111,73312704,7835590000.0,106140000,47.5085,193.5,3.29002,1.014517,0.377045,0.377502,2.256535,2.194612,74.306671,74.216739,74.0747,2.19432,6.913781,6.8737,65829.78719,1.61,0.921977329,1.61
1374531,-73.639583,41.373389,6.4904,-4.43816,2924290,0.360568,1.42026,18.546203,269865984,344180000.0,219196000,49.291,270.5,4.08824,2.061529,0.353809,0.288062,0.822907,0.79986,67.976677,66.515523,67.6255,0.835746,7.680278,7.79787,82333.45368,1.730208,1.218154911,1.75
1398000,-74.827778,40.473333,2.96243,-4.41905,878333,0.556637,0.501344,18.316236,24145500,-2059870000.0,65475300,25.1662,109.46,6.22164,0.872385,0.380556,0.388466,2.230172,2.192327,72.879478,72.16895,71.9872,2.15157,6.568163,6.67463,70214.25174,2.323229,1.215711371,3.67
1397420,-74.7425,40.501944,4.51382,-4.38516,7613110,0.471549,0.208936,21.216994,52589500,-664314000.0,469030000,40.3581,60.4,5.57728,0.919768,0.380556,0.380069,2.257989,2.115863,74.306671,73.815836,72.4085,2.12332,7.070255,6.95687,48398.57261,4.165833,0.853690476,5.83
1401000,-74.681944,40.333056,2.60898,-4.25152,1462430,0.437685,1.26195,17.966622,41312100,-1171460000.0,117541000,21.5042,62.23,4.83178,0.769238,0.335697,0.351421,2.112107,2.021598,70.920692,69.689015,70.4059,2.11211,6.415064,6.46529,66321.35768,1.440417,1.067073706,5.08
1401650,-74.648889,40.468056,2.38086,-4.03033,176373,0.378003,2.69528,15.115324,68069504,-19202600000.0,13149800,21.7889,58.85,5.80891,0.90822,0.380556,0.380556,2.103029,2.094366,72.683922,72.551974,72.4617,2.0948,7.070087,7.14915,59838.32911,2.879167,1.313301232,3.91
1401750,-74.6175,40.44,2.0742,-3.99254,5610190,0.349136,14.0667,16.92015,119724000,27264600000.0,453287000,14.8798,26.52,8.83484,0.8881,0.366273,0.316029,2.314406,2.157064,73.590141,72.199491,72.5837,2.08863,6.87857,7.14595,54840.59032,2.996667,1.028678267,6.46
1402630,-74.623056,40.506111,1.86294,-4.09402,292217,0.352436,3.18086,15.457465,161975008,8049300000.0,23075000,11.1992,41.18,13.0504,0.951181,0.380556,0.376766,2.096984,2.071154,73.122849,72.891134,73.1228,2.04538,7.218838,7.31422,56779.4571,1.065729,1.123479933,2.37
1402000,-74.575833,40.475,2.0737,-4.01797,6533990,0.304733,2.04736,18.996189,118327000,-19495200000.0,524666000,14.7862,26.97,9.11327,0.931713,0.366273,0.322876,2.314406,2.139752,73.723267,72.328461,73.221,2.02773,6.950807,7.38969,49882.04528,1.637604,1.099539089,4.24
1402500,-74.5875,40.502778,2.07769,-4.02213,6651550,0.316746,4.43269,18.254765,118770000,-12219100000.0,535716000,14.7958,24.4,9.14125,0.95608,0.366273,0.323815,2.314406,2.136979,73.723267,72.350344,73.3534,2.00909,6.959276,7.49966,49869.94177,1.704792,1.113814935,4.96
1405030,-74.412778,40.483056,1.80824,-3.90171,1353560,0.141529,3.11326,17.011602,108884000,11067600000.0,108447000,10.1191,0.0,13.7368,0.9769,0.366273,0.36256,2.081638,1.96363,74.197838,73.645925,74.1715,1.79474,7.674745,8.16307,48494.63489,15.838021,1.172871131,15.95
